Day,Temperature,DewPoint,Humidity,WindSpeed,Pressure,Precipitation,Month,Year
2,82.5,63.7,54.5,2.5,29.0,0.0,10,2023
3,82.3,63.5,54.4,4.3,29.0,0.0,10,2023
4,82.6,62.8,54.4,2.5,29.0,0.0,10,2023
5,83.0,63.2,53.4,2.4,29.0,0.0,10,2023
6,81.8,66.0,60.7,3.0,28.9,0.0,10,2023
7,83.1,68.3,62.0,4.8,29.0,0.0,10,2023
8,84.2,71.1,64.7,2.8,29.0,0.0,10,2023
9,82.3,71.9,72.0,10.4,29.0,0.0,10,2023
10,76.3,62.9,64.4,8.5,29.1,0.0,10,2023
11,78.2,61.7,59.6,4.7,29.1,0.0,10,2023
12,79.8,62.3,56.7,1.5,29.1,0.0,10,2023
13,79.8,64.8,62.5,3.4,29.1,0.0,10,2023
14,74.5,63.6,70.1,12.7,28.6,0.0,10,2023
15,72.9,62.0,71.1,3.5,29.1,0.0,10,2023
16,68.3,63.4,85.4,7.8,29.1,0.0,10,2023
17,66.9,59.7,78.4,10.5,29.3,0.0,10,2023
18,70.3,55.6,62.4,5.9,29.3,0.0,10,2023
19,72.1,57.1,61.1,2.5,29.2,0.0,10,2023
20,73.8,58.4,60.1,1.5,29.2,0.0,10,2023
21,73.5,61.0,65.9,1.2,29.3,0.0,10,2023
22,73.8,65.0,75.1,1.4,29.3,0.0,10,2023
23,73.9,58.8,61.5,5.0,29.2,0.0,10,2023
24,74.7,59.7,61.4,1.5,29.2,0.0,10,2023
25,75.7,59.8,60.1,2.5,29.2,0.0,10,2023
26,75.0,59.8,61.7,1.9,29.2,0.0,10,2023
27,76.1,61.3,62.2,1.6,29.2,0.0,10,2023
28,75.3,63.3,67.3,0.4,29.2,0.0,10,2023
29,74.9,65.6,74.0,0.0,29.2,0.0,10,2023
30,75.1,64.3,71.1,0.8,29.2,0.0,10,2023
31,74.6,65.5,72.2,0.1,29.3,0.0,10,2023
1,75.1,65.3,72.8,1.3,29.3,0.0,11,2023
2,75.7,66.3,73.6,1.3,29.2,0.0,11,2023
3,74.9,63.7,69.6,0.7,29.1,0.0,11,2023
4,74.4,63.1,68.8,1.1,29.2,0.0,11,2023
5,73.2,62.3,69.5,1.6,29.2,0.0,11,2023
6,72.9,60.0,65.7,0.0,29.2,0.0,11,2023
7,72.7,62.1,69.9,0.7,29.2,0.0,11,2023
8,72.3,62.3,71.5,0.3,28.6,0.0,11,2023
9,71.9,61.8,71.1,1.1,29.2,0.0,11,2023
10,63.0,58.3,85.0,10.8,29.3,0.0,11,2023
11,65.7,54.1,67.7,5.3,29.3,0.0,11,2023
12,67.6,55.4,66.8,2.4,29.3,0.0,11,2023
13,68.2,55.6,66.5,0.9,29.3,0.0,11,2023
14,68.4,57.6,69.8,1.9,29.3,0.0,11,2023
15,68.2,55.2,65.9,0.8,29.3,0.0,11,2023
16,67.5,54.8,65.5,0.8,29.3,0.0,11,2023
17,68.5,53.8,62.5,2.3,29.3,0.0,11,2023
18,68.1,53.0,62.2,1.5,29.3,0.0,11,2023
19,67.8,55.0,66.3,1.5,28.7,0.0,11,2023
20,65.9,53.5,66.5,1.9,28.7,0.0,11,2023
21,64.0,49.7,59.9,2.5,28.1,0.0,11,2023
22,65.4,51.6,63.1,2.3,29.2,0.0,11,2023
23,63.0,52.9,69.3,0.7,28.6,0.0,11,2023
24,64.4,53.7,69.8,2.1,29.3,0.0,11,2023
25,63.0,52.2,69.2,1.0,29.3,0.0,11,2023
26,63.1,53.1,70.8,1.3,29.3,0.0,11,2023
27,62.7,54.3,74.4,2.3,29.3,0.0,11,2023
28,64.6,57.0,76.9,1.5,29.2,0.0,11,2023
29,67.0,55.8,69.4,1.2,29.2,0.0,11,2023
30,63.4,56.6,79.6,6.4,28.7,0.0,11,2023
1,62.7,52.0,69.2,3.5,29.3,0.0,12,2023
2,64.2,52.1,66.2,1.2,29.3,0.0,12,2023
3,63.9,53.1,69.1,0.1,29.3,0.0,12,2023
4,63.3,51.7,67.4,1.4,29.3,0.0,12,2023
5,61.8,52.9,74.1,0.8,28.7,0.0,12,2023
6,62.5,47.9,62.5,3.2,29.3,0.0,12,2023
7,62.2,49.1,65.1,2.2,29.2,0.0,12,2023
8,61.9,49.1,66.0,1.0,29.2,0.0,12,2023
9,61.1,50.3,69.5,1.6,28.7,0.0,12,2023
10,59.3,48.0,68.9,2.8,29.2,0.0,12,2023
11,58.7,50.3,74.3,1.1,29.2,0.0,12,2023
12,57.3,50.0,76.8,1.2,29.2,0.0,12,2023
13,58.1,48.6,72.9,0.5,29.3,0.0,12,2023
14,55.8,48.3,77.3,1.9,29.3,0.0,12,2023
15,55.7,46.3,72.5,0.5,29.3,0.0,12,2023
16,56.0,44.4,67.2,2.2,28.7,0.0,12,2023
17,55.0,45.4,72.2,2.7,29.3,0.0,12,2023
18,55.9,45.6,71.9,2.5,28.1,0.0,12,2023
19,56.0,44.6,68.8,2.1,28.1,0.0,12,2023
20,57.1,42.5,62.1,2.1,29.3,0.0,12,2023
21,56.3,43.8,66.9,1.3,25.8,0.0,12,2023
22,54.3,45.0,72.8,2.9,29.3,0.0,12,2023
23,56.5,49.4,77.6,2.3,29.4,0.0,12,2023
24,56.0,49.1,78.4,1.4,29.4,0.0,12,2023
25,55.9,50.9,84.5,0.8,29.3,0.0,12,2023
26,52.0,45.5,78.8,0.2,29.3,0.0,12,2023
27,52.9,50.9,93.4,0.0,29.4,0.0,12,2023
28,51.9,50.0,93.6,2.2,29.3,0.0,12,2023
29,49.0,46.7,91.8,2.3,27.5,0.0,12,2023
30,50.1,46.1,87.1,1.4,29.3,0.0,12,2023
31,49.2,45.0,85.7,0.1,29.3,0.0,12,2023
1,49.5,44.9,84.4,1.0,28.7,0.0,1,2023
2,48.3,44.5,85.8,0.2,29.3,0.0,1,2023
3,46.9,42.4,83.4,0.0,29.3,0.0,1,2023
4,47.0,43.2,86.3,0.2,29.3,0.0,1,2023
5,46.3,42.0,84.6,0.0,29.3,0.0,1,2023
6,46.2,45.1,95.7,0.0,29.4,0.0,1,2023
7,46.2,43.5,90.1,0.2,29.4,0.0,1,2023
8,45.8,41.1,83.8,0.8,29.4,0.0,1,2023
9,45.5,41.8,86.6,0.0,29.4,0.0,1,2023
10,46.1,41.3,83.7,0.6,29.4,0.0,1,2023
11,47.4,43.0,85.3,0.1,29.3,0.0,1,2023
12,47.0,42.9,86.2,0.0,29.3,0.0,1,2023
13,47.9,43.4,84.2,0.3,29.3,0.0,1,2023
14,46.3,42.3,86.6,0.0,29.3,0.0,1,2023
15,46.5,42.2,85.0,0.1,29.3,0.0,1,2023
16,46.2,42.0,85.1,0.4,29.2,0.0,1,2023
17,47.6,44.0,88.1,0.0,29.2,0.0,1,2023
18,48.2,44.2,87.6,0.2,28.7,0.0,1,2023
19,47.4,44.8,91.6,1.7,29.3,0.0,1,2023
20,46.8,42.4,85.2,0.4,29.3,0.0,1,2023
21,45.8,42.4,86.9,1.1,29.3,0.0,1,2023
22,46.7,41.4,81.8,1.5,29.3,0.0,1,2023
23,47.0,40.0,77.8,2.5,29.3,0.0,1,2023
24,45.5,41.6,86.7,0.9,29.3,0.0,1,2023
25,46.2,41.7,84.6,0.1,29.4,0.0,1,2023
26,51.5,41.9,71.6,3.0,29.4,0.0,1,2023
27,57.1,44.9,66.9,3.9,29.3,0.0,1,2023
28,58.3,48.1,70.1,2.9,29.3,0.0,1,2023
29,56.8,48.5,76.1,2.3,29.3,0.0,1,2023
30,56.8,46.1,67.9,4.2,28.7,0.0,1,2023
31,56.8,50.8,80.3,5.8,29.2,0.0,1,2023
1,55.6,48.5,77.9,8.8,29.2,0.0,2,2024
2,55.4,45.7,70.6,6.8,29.4,0.0,2,2024
3,56.0,45.3,67.6,8.4,29.3,0.0,2,2024
4,54.3,49.5,85.2,5.6,29.3,0.0,2,2024
5,54.4,46.9,77.0,1.7,29.3,0.0,2,2024
6,56.2,42.9,63.7,4.3,29.4,0.0,2,2024
7,55.6,42.3,62.9,5.0,29.4,0.0,2,2024
8,58.0,39.9,54.5,9.3,29.3,0.0,2,2024
9,58.9,39.2,51.9,3.7,29.3,0.0,2,2024
10,59.0,46.5,65.5,1.2,29.4,0.0,2,2024
11,60.6,46.3,62.2,1.9,29.4,0.0,2,2024
12,58.1,46.0,66.0,0.6,28.2,0.0,2,2024
13,58.8,51.9,76.3,0.7,29.3,0.0,2,2024
14,62.0,45.4,57.9,3.3,29.3,0.0,2,2024
15,62.3,47.2,60.1,1.9,29.3,0.0,2,2024
16,63.4,48.1,60.7,1.6,29.4,0.0,2,2024
17,63.3,48.1,60.7,1.6,29.2,0.0,2,2024
18,60.6,51.1,71.1,5.5,29.1,0.0,2,2024
19,64.4,54.2,70.2,17.5,29.0,0.0,2,2024
20,62.0,53.4,74.0,6.3,29.1,0.0,2,2024
21,61.7,48.5,65.1,4.1,29.1,0.0,2,2024
22,61.9,46.4,59.8,6.5,29.2,0.0,2,2024
23,61.5,38.2,46.9,6.6,29.2,0.0,2,2024
24,61.7,39.5,47.9,4.0,29.3,0.0,2,2024
25,61.0,42.9,54.0,3.7,29.4,0.0,2,2024
26,59.9,43.1,56.8,5.0,29.3,0.0,2,2024
27,60.5,47.0,63.3,5.2,29.3,0.0,2,2024
28,62.6,44.1,54.2,5.4,29.3,0.0,2,2024
29,64.7,45.6,52.4,5.0,29.2,0.0,2,2024
1,61.4,53.0,73.8,10.4,29.2,0.0,3,2024
2,63.5,56.7,79.2,17.7,29.0,0.0,3,2024
3,58.3,40.9,55.1,8.6,29.1,0.0,3,2024
4,57.9,38.3,50.4,4.8,29.3,0.0,3,2024
5,59.3,40.4,52.9,4.4,29.3,0.0,3,2024
6,61.9,40.7,49.3,4.8,29.2,0.0,3,2024
7,64.4,46.3,53.7,6.1,29.2,0.0,3,2024
8,64.6,46.2,54.9,5.7,29.3,0.0,3,2024
9,65.5,42.6,47.9,6.1,29.2,0.0,3,2024
10,67.7,44.0,44.9,2.7,29.2,0.0,3,2024
11,65.8,53.1,64.7,2.0,29.3,0.0,3,2024
12,67.7,52.7,61.3,4.3,29.2,0.0,3,2024
13,63.9,53.2,68.2,4.9,29.1,0.0,3,2024
14,67.0,50.3,56.9,8.9,29.3,0.0,3,2024
15,64.3,47.8,57.1,9.4,29.2,0.0,3,2024
16,71.4,49.7,48.5,5.0,29.2,0.0,3,2024
17,71.1,48.4,47.7,4.4,29.2,0.0,3,2024
18,72.9,49.4,47.4,4.2,29.2,0.0,3,2024
19,73.3,52.4,50.7,2.6,29.2,0.0,3,2024
20,75.9,50.4,44.8,5.3,29.2,0.0,3,2024
21,73.7,57.6,56.2,8.3,29.1,0.0,3,2024
22,72.1,61.4,70.0,7.6,29.1,0.0,3,2024
23,77.2,58.0,55.1,7.1,29.1,0.0,3,2024
24,74.6,59.5,61.0,7.0,29.1,0.0,3,2024
25,77.2,55.9,51.5,5.8,29.1,0.0,3,2024
26,77.2,59.5,55.0,2.7,29.1,0.0,3,2024
27,75.8,61.6,62.3,10.8,29.2,0.0,3,2024
28,74.9,60.8,62.1,10.0,29.1,0.0,3,2024
29,78.1,60.3,56.6,6.9,29.1,0.0,3,2024
30,73.6,61.8,67.9,13.3,29.1,0.0,3,2024
31,70.3,57.5,66.5,11.4,28.6,0.0,3,2024
1,74.8,52.1,47.5,9.4,29.1,0.0,4,2024
2,77.5,52.2,45.7,6.1,29.0,0.0,4,2024
3,78.2,55.2,47.8,5.2,29.0,0.0,4,2024
4,79.1,53.5,43.3,8.8,29.1,0.0,4,2024
5,80.3,49.1,36.8,9.3,29.0,0.0,4,2024
6,80.0,49.0,36.8,6.2,29.0,0.0,4,2024
7,81.2,50.8,37.4,4.9,29.0,0.0,4,2024
8,81.5,49.9,35.6,3.8,29.1,0.0,4,2024
9,83.1,50.4,34.9,3.3,29.1,0.0,4,2024
10,83.2,59.0,44.9,5.6,29.1,0.0,4,2024
11,80.3,52.6,41.0,13.3,29.1,0.0,4,2024
12,81.1,53.9,41.9,7.1,29.1,0.0,4,2024
13,76.3,58.0,53.6,11.5,29.1,0.0,4,2024
14,73.0,60.5,65.9,10.1,29.2,0.0,4,2024
15,75.4,61.7,64.3,8.4,29.1,0.0,4,2024
16,75.7,58.8,57.3,9.2,28.5,0.0,4,2024
17,80.7,53.4,42.0,6.5,29.0,0.0,4,2024
18,81.9,58.1,45.3,7.8,29.0,0.0,4,2024
19,79.4,61.8,56.0,14.2,28.3,0.0,4,2024
20,79.9,58.9,52.0,8.8,28.9,0.0,4,2024
21,82.9,58.4,45.6,7.4,29.0,0.0,4,2024
22,83.2,58.7,45.7,8.5,29.0,0.0,4,2024
23,76.6,60.8,58.7,9.3,29.0,0.0,4,2024
24,82.8,58.1,46.1,2.9,29.0,0.0,4,2024
25,86.3,57.7,39.5,3.1,29.0,0.0,4,2024
26,84.2,59.9,48.8,10.1,28.9,0.0,4,2024
27,77.8,61.4,60.2,12.9,29.0,0.0,4,2024
28,81.0,58.1,48.3,10.3,29.0,0.0,4,2024
29,73.0,57.4,60.8,18.2,29.0,0.0,4,2024
30,70.7,53.6,59.2,13.0,29.0,0.0,4,2024
1,72.5,50.3,48.9,7.0,28.9,0.0,5,2024
2,79.7,51.5,41.9,5.3,28.9,0.0,5,2024
3,82.8,50.7,35.4,4.0,29.0,0.0,5,2024
4,86.0,54.6,36.7,11.1,29.0,0.0,5,2024
5,87.7,55.5,34.9,7.8,28.9,0.0,5,2024
6,91.3,54.4,31.0,4.8,28.9,0.0,5,2024
7,93.0,55.1,31.1,4.5,28.9,0.0,5,2024
8,92.9,55.4,31.5,3.6,28.9,0.0,5,2024
9,91.6,64.8,42.5,8.2,28.9,0.0,5,2024
10,88.7,65.5,47.6,16.3,29.0,0.0,5,2024
11,85.8,62.7,47.6,8.3,29.0,0.0,5,2024
12,84.7,65.8,54.2,10.5,29.1,0.0,5,2024
13,88.0,54.0,34.4,7.5,29.1,0.0,5,2024
14,90.4,55.7,33.2,8.0,29.0,0.0,5,2024
15,94.8,61.0,33.9,1.7,29.0,0.0,5,2024
16,96.6,61.8,33.3,3.9,29.0,0.0,5,2024
17,97.0,58.8,29.3,4.7,28.9,0.0,5,2024
18,97.2,60.1,30.1,10.9,28.9,0.0,5,2024
19,97.8,60.6,30.4,5.4,28.8,0.0,5,2024
20,98.9,61.5,30.5,4.8,28.8,0.0,5,2024
21,98.6,59.0,28.3,7.3,28.8,0.0,5,2024
22,95.9,59.1,29.1,3.2,28.2,0.0,5,2024
23,96.5,69.2,41.7,5.2,28.8,0.0,5,2024
24,94.9,68.8,43.5,12.7,28.8,0.0,5,2024
25,94.1,61.6,37.2,8.0,28.8,0.0,5,2024
26,98.5,57.9,28.6,5.8,28.1,0.0,5,2024
27,99.3,55.9,26.3,7.5,28.6,0.0,5,2024
28,99.8,51.0,21.9,5.2,28.6,0.0,5,2024
29,100.1,52.7,22.8,5.6,28.6,0.0,5,2024
30,99.5,55.5,24.4,5.6,28.7,0.0,5,2024
31,98.7,55.2,24.7,6.2,28.8,0.0,5,2024
1,98.9,57.9,27.1,5.8,28.8,0.0,6,2024
2,96.5,61.6,32.2,4.5,28.8,0.0,6,2024
3,96.9,59.3,31.4,15.9,28.8,0.0,6,2024
4,94.5,61.6,35.3,6.0,28.8,0.0,6,2024
5,92.2,63.2,39.2,12.6,28.8,0.0,6,2024
6,88.3,62.5,44.4,9.8,28.9,0.0,6,2024
7,90.3,61.4,39.8,8.8,28.9,0.0,6,2024
8,90.9,61.1,37.9,9.6,28.9,0.0,6,2024
9,95.9,57.7,30.2,5.3,28.8,0.0,6,2024
10,97.0,56.9,28.0,5.3,28.2,0.0,6,2024
11,98.1,55.6,25.7,6.5,28.8,0.0,6,2024
12,99.8,59.3,27.5,6.0,28.8,0.0,6,2024
13,98.7,60.0,28.4,9.9,28.8,0.0,6,2024
14,98.8,58.6,28.2,4.8,28.7,0.0,6,2024
15,99.5,62.8,31.3,7.8,28.7,0.0,6,2024
16,100.3,64.6,32.1,9.7,28.7,0.0,6,2024
17,100.3,68.1,36.6,9.1,28.7,0.0,6,2024
18,100.8,67.6,35.2,8.0,28.7,0.0,6,2024
19,99.0,70.7,41.0,11.4,28.6,0.0,6,2024
20,85.2,65.8,53.2,15.4,28.7,0.0,6,2024
21,86.8,67.5,54.4,6.8,28.8,0.0,6,2024
22,92.0,69.9,50.1,5.9,28.8,0.0,6,2024
23,95.9,67.0,40.5,5.5,28.8,0.0,6,2024
24,98.5,68.3,38.1,4.8,28.7,0.0,6,2024
25,97.1,70.7,44.1,8.6,28.7,0.0,6,2024
26,98.0,73.2,45.9,9.6,28.7,0.0,6,2024
27,89.4,74.1,61.2,14.5,28.8,0.0,6,2024
28,91.6,74.8,59.0,10.5,28.8,0.0,6,2024
29,92.1,75.9,61.2,10.1,28.7,0.0,6,2024
30,87.6,75.2,67.5,10.7,28.7,0.0,6,2024
1,88.7,78.4,72.6,8.3,28.6,0.0,7,2024
2,92.4,79.4,66.4,9.2,28.6,0.0,7,2024
3,91.9,78.8,65.9,14.5,28.6,0.0,7,2024
4,85.9,76.8,74.7,13.6,28.8,0.0,7,2024
5,85.8,77.0,75.0,11.8,28.6,0.0,7,2024
6,78.0,73.2,85.9,12.9,28.7,0.0,7,2024
7,85.3,76.7,76.5,8.7,28.7,0.0,7,2024
8,90.3,76.6,65.1,5.0,28.8,0.0,7,2024
9,91.4,77.3,64.5,4.5,28.9,0.0,7,2024
10,88.2,76.7,69.8,8.6,28.9,0.0,7,2024
11,90.7,76.8,65.7,6.7,28.7,0.0,7,2024
12,79.4,74.9,85.5,14.0,28.7,0.0,7,2024
13,85.5,71.7,65.2,5.4,28.7,0.0,7,2024
14,86.3,74.1,67.9,2.2,28.7,0.0,7,2024
